sdf_file_ix,COMPOUND_NAMES,Reference,IC50_range_nM,smiles
291,Example 553b (R) (Page No: 687),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCC(C)(CC1)F
292,Example 633 (Page No: 734),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)(F)F)cc2C(F)(F)F)C1=O
293,Example 528 (Page No: 667),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC(CC3)(F)F)cc2C(F)(F)F)C1=O
294,Example 647 (+/-) (Page No: 741),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(C(C3)O)(F)F)cc2C(F)(F)F)C1=O
295,Example 588 (+/-) (Page No: 709),WO2019148005,<100,CC1C(CCN1Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)C(F)(F)F
296,Example 423 (Page No: 584),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC(C3)C#N)cc2C(F)(F)F)C1=O
297,Example 425 (Page No: 585),WO2019148005,<100,CC1(CN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C1)C#N
298,Example 421 (R) (Page No: 583),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@H](C3)C#N)cc2C(F)(F)F)C1=O
299,Example 422 (S) (Page No: 583),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)C#N)cc2C(F)(F)F)C1=O
300,Example 628 (Page No: 732),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)C#N)cc2C(F)(F)F)C1=O
301,Example 642 (Page No: 738),WO2019148005,<100,CC1(CCN(CC1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)C#N
302,Example 426 (Page No: 585),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC3=O)cc2C(F)(F)F)C1=O
303,Example 487 (Page No: 638),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC4(CC4)C3)cc2C(F)(F)F)C1=O
304,Example 520 (Page No: 661),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC4)C3)cc2C(F)(F)F)C1=O
305,Example 701 (+/-) (Page No: 779),WO2019148005,301-1000,CC(c1nncn1C)C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC4)C3)cc2C(F)(F)F)C1=O
306,Example 517a (S) (Page No: 656),WO2019148005,<100,Cn1cnnc1C[C@]1(CCOC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC4)C3)cc2C(F)(F)F)C1=O
307,Example 517b (R) (Page No: 657),WO2019148005,<100,Cn1cnnc1C[C@@]1(CCOC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC4)C3)cc2C(F)(F)F)C1=O
308,Example 641 (Page No: 738),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC3)CC4)cc2C(F)(F)F)C1=O
309,Example 558a (S) (Page No: 690),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCC2(CC1)CC2
310,Example 558b (R) (Page No: 690),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CCC2(CC1)CC2
311,Example 636 (Page No: 735),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC4)C(C3)(F)F)cc2C(F)(F)F)C1=O
312,Example 695 (Page No: 773),WO2019148005,<100,Cn1cnnc1CC1(CCC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC4)C3)cc2C(F)(F)F)C1=O
313,Example 429 (Stereo) (Page No: 587),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3C[C@H]4C[C@H]4C3)cc2C(F)(F)F)C1=O
314,Example 541a (S) (Page No: 676),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC2CC2C1
315,Example 541b (R) (Page No: 676),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC2CC2C1
316,Example 491 (+/-) (Page No: 640),WO2019148005,<100,CC12CC2CN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C1
317,Example 488 (Page No: 639),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC4C(C3)C4(F)F)cc2C(F)(F)F)C1=O
318,Example 646 (+/-) (Page No: 740),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4CC4C3)cc2C(F)(F)F)C1=O
319,Example 640 (Page No: 737),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC4CC(C3)C4(F)F)cc2C(F)(F)F)C1=O
320,Example 431 (Page No: 588),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOCC3)cc2C(F)(F)F)C1=O
321,Example 663a (S) (Page No: 748),WO2019148005,<100,C[C@H]1CN(CCO1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
322,Example 663b (R) (Page No: 748),WO2019148005,<100,C[C@@H]1CN(CCO1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
323,Example 664 (cis) (Page No: 748),WO2019148005,<100,C[C@H]1CN(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C[C@@H](C)O1
324,Example 665 (Page No: 749),WO2019148005,<100,CC1(C)CN(CCO1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
325,Example 637 (+/-) (Page No: 735),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC(C3)OC)cc2C(F)(F)F)C1=O
326,Example 629 (+/-) (Page No: 732),WO2019148005,<100,CCOC1CCCN(C1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
327,Example 716 (+/-) (Page No: 788),WO2019148005,<100,CC(C)C1CN(CCO1)Cc1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
328,Example 718 (+/-) (Page No: 789),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC(C3)C3CC3)cc2C(F)(F)F)C1=O
329,Example 719 (+/-) (Page No: 789),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC(C3)C3CCC3)cc2C(F)(F)F)C1=O
330,Example 717 (+/-) (Page No: 788),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC(CCO)C3)cc2C(F)(F)F)C1=O
331,Example 714 (+/-) (Page No: 787),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC(C3)CF)cc2C(F)(F)F)C1=O
332,Example 630 (+/-) (Page No: 732),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC(C3)C(F)F)cc2C(F)(F)F)C1=O
333,Example 707 (S) (Page No: 784),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCO[C@@H](C3)C(F)(F)F)cc2C(F)(F)F)C1=O
334,Example 521 (+/-) (Page No: 662),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC(CCF)C3)cc2C(F)(F)F)C1=O
335,Example 715 (+/-) (Page No: 787),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC(CC(F)(F)F)C3)cc2C(F)(F)F)C1=O
336,Example 710 (S) (Page No: 785),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCO[C@@H](C3)CO)cc2C(F)(F)F)C1=O
337,Example 667 (S) (Page No: 750),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCO[C@@H](C3)COC)cc2C(F)(F)F)C1=O
338,Example 434 (Page No: 589),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCS(CC3)(=O)=O)cc2C(F)(F)F)C1=O
339,Example 430 (+/-) (Page No: 587),WO2019148005,<100,CC(c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)N1CC(C1)S(C)(=O)=O
340,Example 428 (Page No: 587),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC(C3)C(O)=O)cc2C(F)(F)F)C1=O
341,Example 530 (+/-) (Page No: 668),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CC3CNCCC3=O)cc2C(F)(F)F)C1=O
342,Example 531 (+/-) (Page No: 669),WO2019148005,<100,CN1CCC(C(Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C1)=O
343,Example 532 (cis) (Page No: 670),WO2019148005,<100,CN1CC[C@@H]([C@H](Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C1)O
344,Example 533 (Stereo) (Page No: 670),WO2019148005,<100,CN1CC[C@@H]([C@@H](Cc2cc3C(N(Cc3c(c2)C(F)(F)F)c2cccc(c2)C2(Cc3nncn3C)COC2)=O)C1)O
345,Example 673a (S) (Page No: 756),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC3)cc2C(F)(F)F)C1=O)F
346,Example 673b (R) (Page No: 756),WO2019148005,<100,Cn1cnnc1[C@@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC3)cc2C(F)(F)F)C1=O)F
347,Example 674a (S) (Page No: 756),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCCC3)cc2C(F)(F)F)C1=O)F
348,Example 674b (R) (Page No: 757),WO2019148005,<100,Cn1cnnc1[C@@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCCC3)cc2C(F)(F)F)C1=O)F
349,Example 670a (S) (Page No: 752),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)F)cc2C(F)(F)F)C1=O)F
350,Example 670b (R) (Page No: 753),WO2019148005,<100,Cn1cnnc1[C@@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)F)cc2C(F)(F)F)C1=O)F
351,Example 679 (Page No: 760),WO2019148005,<100,Cn1cnnc1C(C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC(C3)F)cc2C(F)(F)F)C1=O)(F)F
352,Example 570 (Stereo) (Page No: 697),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)C(c1nncn1C)(F)F)=O)N1CC[C@@H](C1)F
353,Example 571 (Stereo) (Page No: 697),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)C(c1nncn1C)(F)F)=O)N1CC[C@@H](C1)F
354,Example 678 (S) (Page No: 760),WO2019148005,<100,CC(c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)C(c1nncn1C)(F)F)=O)N1CC[C@@H](C1)F
355,Example 618 (S) (Page No: 726),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC4(CC4)C3)cc2C(F)(F)F)C1=O)F
356,Example 515 (Stereo) (Page No: 655),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)[C@@H](c1nncn1C)F)=O)N1CCC2(CC2)C1
357,Example 576 (Stereo) (Page No: 701),WO2019148005,<100,C[C@@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)[C@@H](c1nncn1C)F)=O)N1CCC2(CC2)C1
358,Example 516 (Stereo) (Page No: 655),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)[C@@H](c1nncn1C)F)=O)N1CCC2(CC2)C1
359,Example 575 (Stereo) (Page No: 701),WO2019148005,<100,C[C@H](c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(COC1)[C@@H](c1nncn1C)F)=O)N1CCC2(CC2)C1
360,Example 554 (S) (Page No: 689),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C1=O)C1CC1
361,Example 552 (Page No: 686),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCC(CC3)F)cc2C1=O)C1CC1
362,Example 433 (Page No: 589),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC34COC4)cc2C(F)(F)F)C1=O
363,Example 666 (Page No: 749),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC4(CC4)C3)cc2C(F)(F)F)C1=O
364,Example 703 (Page No: 781),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC4(CCC4)C3)cc2C(F)(F)F)C1=O
365,Example 712 (+/-) (Page No: 786),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCOC4(CCOC4)C3)cc2C(F)(F)F)C1=O
366,Example 468 (S) (Page No: 613),WO2019148005,<100,CCOc1cc(cc(c1)N1Cc2c(cc(CN3CC[C@@H](C3)F)cc2C(F)(F)F)C1=O)C1(Cc2nncn2C)COC1
367,Example 691b (Stereo) (Page No: 768),WO2019148005,<100,CCOc1cc(cc(c1)N1Cc2c(cc(cc2C(F)(F)F)[C@H](C)N2CC[C@@H](C2)F)C1=O)C1(Cc2nncn2C)COC1
368,Example 691a (Stereo) (Page No: 768),WO2019148005,<100,CCOc1cc(cc(c1)N1Cc2c(cc(cc2C(F)(F)F)[C@@H](C)N2CC[C@@H](C2)F)C1=O)C1(Cc2nncn2C)COC1
369,Example 708 (Stereo) (Page No: 784),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@H]4[C@H](CCO4)C3)cc2C(F)(F)F)C1=O
370,Example 648 (Page No: 741),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCc4cnccc4C3)cc2C(F)(F)F)C1=O
371,Example 638 (Page No: 736),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCc4ccncc4C3)cc2C(F)(F)F)C1=O
372,Example 650 (Page No: 742),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCc4ccccc4C3)cc2C(F)(F)F)C1=O
373,Example 706 (Page No: 783),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCc4cc(C#N)ccc4C3)cc2C(F)(F)F)C1=O
374,Example 661 (Page No: 746),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCc4ccc(cc4C3)OC)cc2C(F)(F)F)C1=O
375,Example 486a (Stereo) (Page No: 638),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H]4C[C@H]34)cc2C(F)(F)F)C1=O
376,Example 486b (Stereo) (Page No: 638),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H]4C[C@H]34)cc2C(F)(F)F)C1=O
377,Example 490 (+/-) (Page No: 639),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCCC4CC34)cc2C(F)(F)F)C1=O
378,Example 542 (+/-) (Page No: 677),WO2019148005,<100,CC(c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O)n1ccnc1
379,Example 590 (R) (Page No: 710),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CCN3CCC[C@@H]3C2)C1=O
380,Example 591 (S) (Page No: 711),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CCN3CCC[C@H]3C2)C1=O
381,Example 711 (+/-) (Page No: 785),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCN4C(CCC4=O)C3)cc2C(F)(F)F)C1=O
382,Example 513 (Page No: 653),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)OC2CC2)C1=O
383,Example 514 (Page No: 654),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)OC2CNC2)C1=O
384,Example 595 (Page No: 714),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)OC(F)F)C1=O
385,Example 713 (Stereo) (Page No: 786),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC[C@@H]4[C@H](C3)OCCN4)cc2C(F)(F)F)C1=O
386,Example 561 (Page No: 693),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CCOC2=O)C1=O
387,Example 660 (Page No: 746),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3Cc4cccnc4C3)cc2C(F)(F)F)C1=O
388,Example 709 (Page No: 784),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCc4c(C3)cccn4)cc2C(F)(F)F)C1=O
389,Example 645 (Page No: 740),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CCc4cccnc4C3)cc2C(F)(F)F)C1=O
390,Example 555 (Page No: 689),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3C4CCC3CC4)cc2C(F)(F)F)C1=O
391,Example 556 (+/-) (Page No: 690),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3C4CCCC3CC4)cc2C(F)(F)F)C1=O
392,Example 557 (Stereo) (Page No: 690),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3[C@H]4CC[C@@H]3CC(C4)F)cc2C(F)(F)F)C1=O
393,Example 671a (S) (Page No: 754),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3C4CCC3CC4)cc2C(F)(F)F)C1=O)F
394,Example 671b (R) (Page No: 754),WO2019148005,<100,Cn1cnnc1[C@@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3C4CCC3CC4)cc2C(F)(F)F)C1=O)F
395,Example 675a (S) (Page No: 757),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3C4CCCC3CC4)cc2C(F)(F)F)C1=O)F
396,Example 675b (R) (Page No: 758),WO2019148005,<100,Cn1cnnc1[C@@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3C4CCCC3CC4)cc2C(F)(F)F)C1=O)F
397,Example 672a (Stereo) (Page No: 755),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3[C@H]4CC[C@@H]3CC(C4)F)cc2C(F)(F)F)C1=O)F
398,Example 672b (Stereo) (Page No: 755),WO2019148005,<100,Cn1cnnc1[C@H](C1(COC1)c1cccc(c1)N1Cc2c(cc(CN3[C@H]4CC[C@@H]3CC(C4)F)cc2C(F)(F)F)C1=O)F
399,Example 388 (+/-) (Page No: 565),WO2019148005,<100,CN1C2CCC1CN(C2)c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
400,Example 564 (R) (Page No: 694),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CC3CCC(C2)N3C)C1=O)(C(c1nncn1C)(F)F)F
401,Example 386 (+/-) (Page No: 564),WO2019148005,<100,CN1CC2CCC(C1)N2c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
402,Example 445 (R) (Page No: 595),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2C3CCC2CN(C)C3)C1=O)(C(c1nncn1C)(F)F)F
403,Example 559 (Page No: 691),WO2019148005,101-300,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)C2=CN3CCC2CC3)C1=O
404,Example 560 (Page No: 692),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)[C@H]2CN3CCC2CC3)C1=O
405,Example 619 (+/-) (Page No: 727),WO2019148005,<100,Cn1cnnc1CC1(COC1)c1cccc(c1)N1Cc2c(cc(CN3CC4CC3CO4)cc2C(F)(F)F)C1=O
406,Example 569 (Stereo) (Page No: 697),WO2019148005,<100,CN1C[C@@H]2C[C@@H]1CN2c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
407,Example 566 (R) (Page No: 695),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2C3CC2CN(C)C3)C1=O)(C(c1nncn1C)(F)F)F
408,Example 562 (Stereo) (Page No: 693),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2C[C@@H]3C[C@@H]2CN3C)C1=O)(C(c1nncn1C)(F)F)F
409,Example 563 (Stereo) (Page No: 694),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2C[C@H]3C[C@H]2CN3C)C1=O)(C(c1nncn1C)(F)F)F
410,Example 387 (+/-) (Page No: 564),WO2019148005,<100,CN1CC2CCC1CN2c1cc2C(N(Cc2c(c1)C(F)(F)F)c1cccc(c1)C1(Cc2nncn2C)COC1)=O
411,Example 565 (R) (Page No: 695),WO2019148005,<100,C[C@@](c1cccc(c1)N1Cc2c(cc(cc2C(F)(F)F)N2CC3CCC2CN3C)C1=O)(C(c1nncn1C)(F)F)F
412,Example 363 (R) (Page No: 545),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cc(NC)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
413,Example 360 (R) (Page No: 544),WO2019148005,<100,CCNc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@H](C)Cc1nncn1C
414,Example 353 (R) (Page No: 541),WO2019148005,<100,CC(C)Nc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@H](C)Cc1nncn1C
415,Example 357 (R) (Page No: 543),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cc(NCCO)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
416,Example 365 (Stereo) (Page No: 546),WO2019148005,101-300,C[C@@H](CO)Nc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@H](C)Cc1nncn1C
417,Example 366 (Stereo) (Page No: 547),WO2019148005,101-300,C[C@@H](Cc1nncn1C)c1cc(N[C@@H](C)CO)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
418,Example 364 (Stereo) (Page No: 546),WO2019148005,301-1000,C[C@@H](CNc1cc(cc(n1)N1Cc2c(cccc2C(F)(F)F)C1=O)[C@H](C)Cc1nncn1C)O
419,Example 351 (R) (Page No: 540),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cc(NC2CCC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
420,Example 352 (R) (Page No: 540),WO2019148005,<100,C[C@@H](Cc1nncn1C)c1cc(NC2COC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
421,Example 349 (R) (Page No: 539),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(NC2(C)COC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
422,Example 689a (Stereo) (Page No: 766),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(N[C@@H]2CC[C@@H]2O)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
423,Example 689b (Stereo) (Page No: 766),WO2019148005,301-1000,C[C@@H](Cc1nncn1C)c1cc(N[C@@H]2CC[C@@H]2O)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
424,Example 362 (Stereo) (Page No: 545),WO2019148005,101-300,C[C@H](Cc1nncn1C)c1cc(N[C@H]2CCOC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
425,Example 361 (Stereo) (Page No: 544),WO2019148005,301-1000,C[C@@H](Cc1nncn1C)c1cc(N[C@H]2CCOC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
426,Example 680 (R) (Page No: 761),WO2019148005,<100,C[C@H](Cc1nncn1C)c1cc(C2CC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
427,Example 681 (R) (Page No: 762),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(C2(C)CC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
428,Example 304b (R) (Page No: 511),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1ccnc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
429,Example 304a (S) (Page No: 511),WO2019148005,3001-10000,C[C@@H](Cc1nncn1C)c1ccnc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
430,Example 687 (R) (Page No: 764),WO2019148005,301-1000,C[C@H](Cc1nncn1C)c1cc(C2CCOC2)nc(c1)N1Cc2c(cccc2C(F)(F)F)C1=O
