ligand,code1,code2
Cc1ncc2c(n1)CNC2=O,C26510179,P39105250
C[C@@]12CCCCC1=[N+](CN2O)[O-],C00370675,P56368471
c1c(c(=O)nc[nH]1)C(=O)Cl,C39056149,P59178190
C1[C@H]2CO[C@@H]1[C@@H](COC2=O)O,C39060112,P59180447
c1csc(n1)N2CCNCC2=O,C39114398,P59255904
C[C@H](C(=O)NC)n1cccn1,C41367183,P62736131
CC1(C[C@@H]1n2c(=S)[nH]nn2)C,C45136134,P68041392
COC(=O)C1(CCNCC1)C#N,C49804892,P74446045
C[NH+]1CC[C@]2(C1)CC(=NC2=O)[O-],C61985457,P95082765
C1CC1[NH+]2CC[C@]3(C2)CC(=NC3=O)[O-],C61985465,P95082767
C[C@@H](C#N)[NH+]1CC[C@@](C1)(C)C(=O)[O-],C62935133,P96563816
C1C[NH+](C[C@H]1N2CCOCC2)/C=C/[O-],C62981735,P96699076
CN[C@]1(CCCS(=O)(=O)C1)C#N,C68940662,P105878413
C[C@@H]1C[C@](CCO1)(C(=O)OC)O,C69898272,P107706276
C1CSC[C@@H]1c2n[nH]c(=O)o2,C70030644,P107936108
C1C[C@@](COC1)(C#N)N2CCNCC2,C70015462,P107947204
CCn1cc(cn1)[C@@]2(CCOC2)O,C70962967,P109509681
Cc1nc(on1)[C@H]2CCC[C@@H]2O,C70998000,P109565123
C[C@H](c1ncccn1)N2CCNCC2,C70996367,P109598277
[H]/N=C(/[C@H]1CCS(=O)(=O)C1)\OC,C71494894,P110646026
c1c[nH]c(=O)nc1c2nccs2,C72190576,P112140259
c1cc2=[NH+]CC(=c2nc1)C(=O)[O-],C72267296,P112301991
Cn1cc(cn1)[C@@H]2CNCCO2,C72295119,P112360134
CO[C@@H]1CNC[C@@H](O1)OC,C72399559,P112601321
[H]/N=C\1/[C@@H](S(=O)(=O)O[C@@H]1CC)C,C39932593,P117021289
c1cn2c(cn1)cnc2CO,C24550168,P118198641
CC(=O)N1CCC[NH+](CC1)/C=C/[O-],C43803571,P128441399
CC[C@H]1C(=O)N[C@H](C(=O)N1CC)C,C82956354,P129682148
CC[C@@]1(C(=O)N[C@@H](C(=O)N1C)C)C,C82956605,P129682399
CC[C@@]1(C(=O)NCC(=O)N1CC)C,C82959041,P129684836
C1CC(C1)c2nc([nH]n2)CC#N,C83137485,P129947305
CN(C)/C=C/1\CCCN\C1=N/C#N,C83311051,P130247816
C[C@H]1C[S@@](=O)C[C@@H](N1)C(=O)OC,C83534164,P130665252
Cc1nc(sn1)OC2CNC2,C83649477,P130857548
CCN(C)C(=O)[C@@H]1COCCN1,C83872285,P131208501
Cc1nc(sn1)N2CC(C2)(C)O,C84355829,P131980595
CN[C@@H]1CCC(=O)N(C1=O)C,C84406988,P132101042
c1cn(c(n1)C#N)C2CNC2,C87338575,P136656090
CC1(CC1)c2nc([nH]n2)CC#N,C87554269,P136944207
C1C[C@H](COC1)NC(=O)C2(CC2)C#N,C87671769,P137135364
Cn1cc(cn1)[C@H]([C@H]2CCCO2)O,C88330607,P138149827
CN1CCN(CC1)[C@]2(CCCNC2)C#N,C92595242,P144937207
CNS(=O)(=O)[C@H]1CCOC1,C95076018,P149065784
CC1(OC[C@@H]2[C@@H](O1)[C@@H](C=CO2)O)C,C34618604,P150991664
CN(C)C1=NC(=O)NC=CC1,C95924296,P151031061
c1c2c(nc(=O)[nH]1)CCC(=O)C2,C43464327,P155772969
Cc1coc2c1cc3c(c(c(=O)oc3c2)CC(=O)N[C@@H](CC[S@](=O)C)C(=O)[O-])C,C02120127,P05121204
c1nc(c2c(n1)n(cn2)[C@@H]3[C@H]4[C@@H]([C@@H](O3)CO)O[P@@](=O)(O4)[O-])N,C01529414,P06525748
Cc1cc(=O)oc2c1ccc(c2)OCC(=O)N[C@@H](C)C(=O)NCC(=O)[O-],C12901873,P18950311
Cc1ccc(c(c1)[N+](=O)[O-])OC[C@@H](CN(C)S(=O)(=O)[O-])O,C02897387,P28923858
C[C@H]([C@H](C(=O)[O-])NS(=O)(=O)c1cn(c(=O)n(c1=O)C)C)O,C20019586,P29776014
[H]/N=C/1\C(=C\c2ccc(c(c2)[O-])O)\C(=O)N=C3N1C(=NS3)S(=O)(=O)C,C20206065,P30104360
CN1C(=O)C(=CN[C@@H](CC(=O)[O-])c2ccc(c(c2)OC)OC)C(=O)N(C1=O)C,C20624075,P30773278
c1c(c(nc(=O)[nH]1)[O-])NC(=O)C(=O)NCCCN2CCOCC2,C20676870,P30875890
C1CN(CCN1C[C@H](CS(=O)(=O)[O-])O)C(=O)CCC(=O)O,C24868903,P36890273
Cn1c(cc(=O)n(c1=O)C)/N=c\2/c(c(c2=O)c3c(n(c(=O)n(c3=O)C)C)N)[O-],C26330324,P38824180
CO[P@@](=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2nc[nH]c3=O)O)O,C13901886,P46269517
c1cn2cnc3c(c2n1)ncn3[C@H]4[C@@H]([C@@H]([C@H](O4)CO[P@@](=O)(O)[O-])O)O,C31475037,P46357920
C[C@@H]([C@@H](C(=O)[O-])NS(=O)(=O)c1cc(sc1Br)C(=O)OC)O,C37465314,P55696566
C1CCN([C@H](C1)C(=O)[O-])S(=O)(=O)NCCN2CCOCC2,C37655850,P55998656
Cc1nnc(s1)/N=C(/c2c[n+](cc3c2[nH]nc3[O-])C[C@@H]4CCCO4)\[O-],C38670626,P58543673
c1cc(c(cc1S(=O)(=O)[O-])/C=[NH+]/CC/[NH+]=C/c2cc(ccc2[O-])S(=O)(=O)[O-])O,C39715710,P60218227
CN(C)S(=O)(=O)Nc1nnc(s1)[N-]S(=O)(=O)N(C)C,C39891634,P60520850
C[C@@]1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)[NH-])CO,C22061274,P60598753
CS(=O)(=O)CC[C@@H](C(=O)N1CCN(CC1)CCC(=O)[O-])N,C40482691,P61462246
C[C@H](C(=O)[O-])NS(=O)(=O)c1ccc2c(c1)c(=O)n(c(=O)n2C)C,C40546304,P61563938
CC1CCC(CC1)(C(=O)[O-])NC(=O)NCCNS(=O)(=O)C,C40578738,P61612205
CS(=O)(=O)NCCNC(=O)N1CCN(CC1)CCC(=O)[O-],C40578752,P61616770
CS(=O)(=O)CCNC(=O)N(CC(=O)[O-])[C@H]1CCS(=O)(=O)C1,C40603006,P61641808
C1CS(=O)(=O)C[C@H]1N(CC(=O)[O-])C(=O)N(CCO)C2CC2,C42481643,P64250577
c1c(c(=O)[nH]c(=O)[nH]1)S(=O)(=O)N[C@@]2(CCSC2)C(=O)[O-],C43511470,P65795013
C[C@H](c1[n-]nnn1)NS(=O)(=O)c2cccc(c2)S(=O)(=O)N,C44930512,P67729846
C[C@H](C(=O)NCC(=O)[O-])N1C(=O)/C(=C/c2ccc(c(c2)OC)O)/SC1=S,C15047677,P70719732
CCOc1cc(ccc1O)/C=C\2/C(=O)N(C(=S)S2)[C@@H](C)C(=O)N[C@@H](C)C(=O)[O-],C15048428,P70719995
CCCN(CCO)C(=O)N(CC(=O)[O-])[C@H]1CCS(=O)(=O)C1,C48922511,P73090315
Cn1cc(c(n1)[N-]S(=O)(=O)CCC(=O)OC)S(=O)(=O)N,C49063378,P73290520
Cc1c(sc(=O)[nH]1)S(=O)(=O)N2CCN(CC2)[C@H](C)C(=O)[O-],C51658373,P77416742
Cc1nc(nc(n1)OC)N/C(=N/S(=O)(=O)N2CCOCC2)/[O-],C02495732,P82866917
CS(=O)(=O)[N-]c1nc(cs1)CC(=O)N2CCC(=O)NCC2,C59883496,P91333227
C1COC[C@H]1CNC(=O)N(CC(=O)[O-])[C@@H]2CCS(=O)(=O)C2,C61147926,P93595866
c1ccc(cc1)[C@@H]2[C@H]([n+]3ccsc3N2)/C=N/N=C(/c4cc(=O)[nH]c(n4)[O-])\[O-],C63857883,P98052062
c1c(c(nc(=O)n1CC(=O)N2CCC(=O)NCC2)[O-])Br,C71839599,P111425883
c1cc(ccc1N2C(=O)C[C@H](C2=O)SC[C@H](C(=O)[O-])N)[N+](=O)[O-],C16900193,P112248727
COc1cc2c(cc1OC)n(c(=O)n(c2=O)CC(=O)N)CC(=O)[O-],C73658830,P114715409
COCCN1C[C@]2(CCCN(C2)C(=O)c3cnc([nH]c3=O)[O-])CCC1=O,C77470969,P120902447
C[C@H](CS(=O)(=O)C)NC(=O)N1CCC(CC1)OCC(=O)[O-],C81905370,P127743894
C[C@@H](CS(=O)(=O)C)NC(=O)N1CCN(CC1)[C@@H](C)C(=O)[O-],C81905095,P127750416
Cc1ccc(cc1)[C@H]2[C@@]([C@]23C(=O)NC(=NC3=O)[O-])(C#N)C(=C(C#N)C#N)N,C85409173,P133655556
CS(=O)(=O)N1CCCC[C@@H]1C(=O)N[C@@]2(CCOC2)C(=O)[O-],C85849833,P134405479
CC(C)C[C@H](C(=O)N[C@]1(CCOC1)C(=O)[O-])NS(=O)(=O)C,C85854169,P134411772
c1nc([n-]n1)C(=O)N2CCC[C@@]3(C2)CCC(=O)N(C3)CCCO,C91595933,P143359914
C1C[C@@H](O[C@@H]1CNS(=O)(=O)C2CCS(=O)(=O)CC2)C(=O)[O-],C94558732,P148224174
COc1ccc(c(n1)OC)[C@H](C(=O)[O-])N2CCN(CC2)C(=O)c3nc[nH]n3,C95392893,P149844100
COc1cc(ccc1O)[C@@H]2c3c([nH]c(=O)s3)S[C@H]4[C@@H]2C(=O)N(C4=O)CC(=O)[O-],C47144946,P152029915
C1CC1c2nc(on2)CN3CCN(C[C@H](C3)O)C(=O)Cc4[n-]nnn4,C97360053,P154193103
CO[C@]1(C=CC(=C([C@@H]1N)c2ccccc2)S(=O)(=O)[O-])[N+](=O)[O-],C98089820,P155910406
COc1ccc2c(c1)c3c([nH]2)c(=O)n(c(n3)[O-])/N=C/c4ccc(cc4O)O,C13570436,P29223587
C[C@@H](C(=O)N)OC(=O)c1cc(c(cc1Cl)Cl)S(=O)(=O)[NH-],C23416546,P34790767
c1cc(ccc1CS(=O)(=O)N)[N-]S(=O)(=O)c2ccc3c(c2)CC(=O)N3,C25525507,P37750612
CCc1c(c(nc(n1)SCC(=O)Nc2c(c3c(s2)CCCC3)C(=O)N)[O-])C#N,C05238897,P52444752
c1cc(ccc1c2csc(n2)[N-]S(=O)(=O)c3c[nH]nc3)N,C37744413,P56120241
c1c(cc(c(c1Cl)[N-]S(=O)(=O)c2c[nH]nc2)Cl)S(=O)(=O)N,C40385380,P61304036
Cc1c(sc(=O)[nH]1)S(=O)(=O)[N-]c2ccc(c(c2)C(=O)N)Cl,C40810048,P61960265
c1c(cnc(c1S(=O)(=O)[N-]c2nncs2)NN)Br,C41069844,P62337077
Cc1cc(on1)[N-]S(=O)(=O)c2cc(cnc2NN)Br,C41069850,P62337083
Cc1ccc(cc1)S(=O)(=O)/N=C(/[N-]/[NH+]=C(/c2ccccn2)\N)\[S-],C44550558,P67237132
C[C@H](c1[n-]nnn1)NS(=O)(=O)c2c(cc(cc2Cl)N)Cl,C44887282,P67664334
C[C@H](c1[n-]nnn1)NS(=O)(=O)c2ccc(cc2N)Br,C44887290,P67664348
c1c(cc(c(c1N)S(=O)(=O)NCc2[n-]nnn2)Br)Br,C44887873,P67665294
COc1ccc(cc1O)[C@H]2c3c(=O)[nH]c(nc3NC4=C2C(=O)c5c4cccc5)[O-],C18201118,P74881582
c1cc(ccc1n2c(nnn2)SCc3c(snn3)NN)[O-],C51151000,P76613647
COc1cc(cc(c1[O-])Br)[C@@H]2NC(=Nc3n2c4ccccc4n3)N,C18156211,P78903499
[H]/N=c/1\c(=C\c2ccc(c(c2)[O-])O)\c(=O)nc-3s/c(=C/c4ccc(cc4)Cl)/[nH]n13,C01875698,P80043767
Cc1c([nH]nc1O)C(=O)N/N=C/c2cc(ccc2[O-])Br,C06025017,P83431524
Cc1ccc(cc1)[C@H](c2c(=O)[nH]c([nH+]c2[O-])C)c3c(=O)[nH]c(nc3[O-])C,C15658883,P83524873
C[C@H](c1ccc(cc1)[N+](=O)[O-])NC(=O)c2c([nH]c(=S)[nH]c2=O)[O-],C08665838,P85165456
c1ccc(c(c1)[C@@H]2Nc3cc(c(cc3S(=O)(=O)[N-]2)S(=O)(=O)N)Cl)Cl,C57681382,P86726901
c1c(cc(c(c1Br)[O-])Br)/C=C(/C#N)\c2c(c([nH]n2)N)C#N,C59186054,P89823712
CC1=C([C@@H](N2C(=N1)[N-]C(=N2)CCCO)c3ccc(cc3)Cl)C(=O)N,C13121897,P94525272
CC1=C([C@@H](N2C(=N1)[N-]C(=N2)CCCO)c3ccccc3F)C(=O)N,C61868555,P94792785
C[C@H](c1[n-]nnn1)NS(=O)(=O)c2cc(cc(c2Br)N)Cl,C61882469,P94827205
CCOc1cc(ccc1O)[C@H]2CC(=O)N[C@H]3C2=C(NN3c4ccc(nn4)[O-])C,C63823324,P97997475
c1cc(cc(c1)O)[C@@H]2C/C(=C/3\C(=O)N=C(N(C3=O)c4ccc(cc4)Cl)[O-])/NN2,C64788574,P99572661
C1Cc2c([nH]nc2CNS(=O)(=O)c3c(c4c(s3)CNCC4)C(=O)[O-])C1,C67563212,P103754118
c1c(c2c(c(c(s2)SCC(=O)C34CC5CC(C3)CC(C5)C4)C(=O)N)[nH]c1=O)[O-],C65362771,P103805978
c1cc(cc(c1)[N-]S(=O)(=O)N)N[C@H]2CCCS(=O)(=O)C2,C69136695,P106277204
C[C@@H]1CC[C@@H]2[C@@]([C@@]13CC[C@@](O3)(CC(=O)[O-])CO)(CC[C@@H]([C@@]2(C)CO)O)C,C05722097,P110280052
C[C@H](c1[n-]nnn1)NS(=O)(=O)c2ccc(c(c2)Br)N,C71384932,P110413955
c1ccc(c(c1)[C@@H]2C3([C@@H](NC(=O)N2)c4ccccc4F)C(=O)NC(=O)N=C3[O-])F,C18028944,P112145458
c1ccc(c(c1)[C@@H]2C3([C@H](NC(=S)N2)c4ccccc4F)C(=O)NC(=O)N=C3[O-])F,C17086923,P112145466
CC1CCN(CC1)c2[nH]c3c(c(=O)n2)[C@H](C(=C(N3)[O-])C#N)c4ccc(c(c4)OC)O,C72445461,P112705081
COc1ccc(c(c1)OC)[C@H]2c3c(=O)[nH]c(nc3OC(=C2C#N)N)[O-],C00192578,P112712208
c1ccc(c(c1)c2c(n3ccsc3n2)/C=N/N=C(/N)\[NH-])[N+](=O)[O-],C13219897,P114154344
[H]/N=C/1\C(=N/Nc2cccc(c2)[N+](=O)[O-])\C(=NN1c3ccccc3)[NH-],C06062256,P117222705
Cc1c(c([nH]n1)C(=O)N)[N-]S(=O)(=O)c2ccc(c3c2cccn3)F,C78601482,P122650261
Cc1cc(nc(n1)[N-]S(=O)(=O)c2cc(c(nc2)NN)Cl)C,C81669248,P127407317
Cc1ccc(c(c1)[N-]S(=O)(=O)c2cc(c(nc2)NN)Cl)C,C81669770,P127422254
C[C@@H](CS(=O)(=O)C)Nc1ccc(cc1C(=O)[O-])S(=O)(=O)N,C81904641,P127743165
Cc1c(c(n[nH]1)O)CC(=O)N/N=C\c2cc(c(c(c2)Br)[O-])OC,C83315109,P130274165
CC(C)n1c2c(cn1)[C@H](C(=C(N2)[O-])[N+](=O)[O-])c3ccc(c(c3)O)O,C85413293,P133663043
c1csc(c1Br)S(=O)(=O)[N-]c2c(cn[nH]2)N,C87419445,P136771639
c1ccc2c(c1)Cc3c(nc(nc3[O-])NCCc4[nH]c(=O)[nH]n4)CO2,C95502032,P150089658
COc1cccc(c1)[C@@H](c2[nH]nc(n2)c3ccc(c(c3)[N+](=O)[O-])[O-])N,C95533614,P150161869
c1ccc(cc1)C[C@@H](c2nc([n-]n2)c3ccc(c(c3)[N+](=O)[O-])[O-])[NH3+],C95534922,P150162310
c1cc(ccc1[C@H]2Nc3cc(c(cc3S(=O)(=O)[N-]2)S(=O)(=O)N)F)Cl,C08379197,P151047087
c1ccc2c(c1)[C@@H](C(=O)N2)c3c4c([nH]c3c5ccc(cc5)Cl)nc([nH]c4=O)[O-],C86076976,P156447058
Cc1ccc(cc1)Nc2c(c(nc(n2)NCC(=O)[O-])N)[N+](=O)[O-],C05190650,P07671790
COc1c(ccc(c1/C=N\Nc2c(non2)N)C(=O)[O-])O,C05720096,P08538896
Cc1cc(c(c(c1)S(=O)(=O)[O-])/N=N/c2cc(c(cc2N)N)C)C,C04523145,P10246471
Cc1c(c(n[nH]1)O)C(c2cc(ccc2[O-])[N+](=O)[O-])c3c([nH]nc3O)C,C04892758,P26269643
CC(C)Oc1cccc(c1)[C@@H]2NN[C@@H](N2NCc3cccc(c3O)OC)[S-],C19170968,P28318230
Cc1c(c(n[nH]1)[O-])CCC(=O)N/N=C/c2ccc(cc2O)O,C17951523,P29340374
c1ccc(c(c1)/C=N/Nc2nnc(n2N)SCC(=O)Nc3cccc(c3)Cl)[O-],C20527285,P30607657
c1ccc(c(c1)N)S(=O)(=O)[N-]c2cccc(c2)S(=O)(=O)N,C21009224,P31449525
c1cc(c(cc1Br)/C=N/NC(=O)CCC(=O)NN)[O-],C27986426,P41238325
[H]/N=C/1\[C@H]([C@H](c2c(nc(nc2[O-])N)N1)c3ccc(cc3)F)C#N,C04945499,P50593366
Cc1c(sc(c1C(=O)[O-])NC(=O)[C@H](C(C)C)NC(=O)N)C,C37448877,P55673121
c1c(cc(c(c1O)O)O)/C=C\2/C(=O)c3c(cc(cc3O2)O)[O-],C04097698,P56567169
c1cc(c(cc1c2c(c(c-3c(cc(=O)cc3o2)O)[O-])O)O)O,C03869685,P56793149
c1cc(ccc1C(=O)N)[N-]S(=O)(=O)c2cc(ccc2N)Cl,C37929154,P56996372
C=C1/C(=C(\N)/[O-])/[C@H](n2c(nc(n2)CCCO)N1)c3ccc(cc3)Br,C13121885,P57604757
C/C(=C/1\C(=O)N(C(=S)S1)[C@@H](CC(=O)N)C(=O)[O-])/c2ccc(cc2)N,C39862075,P60484805
c1cc(ccc1[C@H]2c3c(nc(nc3NC4=C2C(=O)CCC4)[S-])N)O,C08514133,P61362546
COc1cc(ccc1O)[C@H]2c3c(nc(nc3NC4=C2C(=O)CCC4)[S-])N,C08487100,P61362552
CC1(CC2=C([C@@H](c3c(nc(nc3N2)[S-])N)c4ccc(cc4)O)C(=O)C1)C,C08236340,P61362768
c1cc(ccc1CCNS(=O)(=O)c2ccc(c(c2)N)[O-])O,C40734810,P61849857
CCCNC(=O)[C@H](C)[N-]S(=O)(=O)c1ccnc(c1)NN,C49227034,P73562781
c1c(cc(c(c1O)[O-])Cl)[C@@H]2NC(=Nc3n2c4cc5c(cc4n3)OCCCO5)N,C12506245,P80370297
[H]/N=C(/N)\[N-]C1=NC(=O)[C@H](S1)CC(=O)Nc2cc(cc(c2)C)C,C20101094,P81669317
c1c(nc(nc1[O-])SCC(=O)c2c(n(c(=O)[nH]c2=O)C3CC3)N)N,C12745896,P90431422
[H]/N=C(/N)\[N-]C1=NC(=O)[C@H](S1)CC(=O)Nc2ccc(c(c2)C(F)(F)F)Cl,C20636283,P90876882
c1c(cc(c(c1N)Br)S(=O)(=O)[N-]CC(=O)N)Cl,C61881409,P94852833
Cc1cc(c(s1)C)C2=N[C@H]3[C@@H]([C@@H]2[C@@H]4C(=NC(=O)NC4=O)N)C(=NC(=O)N3)[O-],C63279775,P97180870
Cc1cc(c(s1)C)C2=N[C@H]3[C@H]([C@@H]2[C@@H]4C(=NC(=O)NC4=O)N)C(=NC(=O)N3)[O-],C63279777,P97180872
c1cc(ccc1C2=N[C@@H]3[C@@H]([C@@H]2[C@@H]4C(=NC(=O)NC4=O)N)C(=NC(=O)N3)[O-])Cl,C63529328,P97561242
c1cc(ccc1/C=C/c2cc(cc(c2)O)O)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)C(=O)[O-])O)O)O,C65748623,P101149929
Cc1c(c([nH]n1)c2ccc(cc2[O-])OCC(=O)NN)c3ccc(c(c3)OC)OC,C17835543,P112216079
c1cc(ccc1[N-]/C(=N\c2ncc(cn2)C(=O)N)/N)Cl,C72448715,P112720640
c1ccc(cc1)[C@@H]2c3c(c(c(nc3N)[O-])C#N)N=C([C@H]2C#N)N,C78549988,P122560870
c1ccc2c(c1)c(c[nH]2)[C@]3([C@H]([C@H](O[C@@H]([C@]3([O-])Cl)Br)O)O)O,C79716768,P124557694
c1cnc([nH]1)[N-]S(=O)(=O)c2cc(cnc2NN)Br,C82457939,P128862710
c1ccc2c(c1)cccc2[C@]3([C@H]([C@@H]([C@H](O[C@H]3O)[C@H]([O-])Br)O)O)O,C83324793,P130308216
c1cc(c(cc1[C@@H]2[C@@H](C(=O)c3c(cc(cc3[O-])O)C2=O)O)O)O,C01022003,P133518865
Cc1[nH]c(cn1)S(=O)(=O)[N-]c2cc(ccc2/C(=N/O)/N)Cl,C86113008,P134838046
CC[C@@H](C)[C@@H](C(=O)NC(C)(C)C(C)(C)C(=O)[O-])NC(=O)N,C87622800,P137057944
c1cc(c(cc1Br)c2[nH]c3c(=O)[nH]c(nc3n2)N)[O-],C88725298,P138775755
c1cc(c(cc1S(=O)(=O)NCc2c[nH]nc2N)[N+](=O)[O-])[O-],C93436353,P146308881
Cc1cc(nc(n1)SCC[C@H]2CCC[C@]2(C(=O)N)N)[O-],C93629319,P146650390
C[C@H](CS(=O)(=O)[N-]c1cc(cc(c1)C(=O)N)C(=O)N)CCl,C93639144,P146659323
CC(C)(C)N(C)c1c(nc(c(n1)N)C(=O)/N=C(/N)\[NH-])Cl,C03871093,P150893843
c1ccc2c(c1)cc(c(c2/C=N\Nc3nnc(n3N)[S-])O)Br,C96569504,P152609433
Cc1cc(c(s1)C)c2c(c3c([nH]2)[nH]c(=O)[nH]c3=O)c4c(nc(nc4[O-])O)N,C09052783,P153015320
c1ccc(cc1)/C(=N\N)/Cc2c(nc(nn2)c3ccccc3N)[O-],C96935800,P153418078
[H]/N=C(/N)\N/N=C(\C)/c1c(=O)c2ccccc2n(c1[O-])c3ccccc3,C68589918,P155477729
c1cc2c(cc1O)O[C@@H](C(=O)[C@H]2[O-])c3cc(c(c(c3)O)O)O,C98354548,P156448142
c1cc(c(cc1[C@@H]2C(=O)[C@H](c3c(cc(cc3O2)O)O)[O-])O)O,C15516369,P156450641
c1cc(=O)n(cc1C(F)(F)F)CC(=O)Nc2c(c3c(s2)CCC3)C(=O)N,C07166208,P11200045
CC(=O)C1=C(C(=O)N([C@H]1c2ccc(cc2Cl)Cl)CCC[NH2+]CCO)[O-],C20026949,P29788183
[H]/N=c\1/n(c2ccccc2n1CC(=O)N)CCCOc3ccccc3Cl,C20069508,P29863657
COc1ccc(cc1)[C@@H]2[C@@H](Sc3nnc(n3N2)C(F)(F)F)C(=O)N,C27752698,P40890790
C/C=C/C[C@H](C)C[C@H](C)C(=O)C1C(=O)[C@H](NC1=O)[C@H](c2ccc(cc2)O)O,C31164665,P45906748
c1c(cc(c(c1N)S(=O)(=O)N2CCN(CC2)CCO)Cl)Cl,C35609532,P52852187
CCCSc1ccc(c(c1)NS(=O)(=O)CCS(=O)(=O)C)N,C63142051,P96963935
CS(=O)(=O)c1ccc(c(c1)S(=O)(=O)[N-][C@H]2CCC[C@@H]2[NH3+])Cl,C63175648,P97022195
Cc1c(c(=O)n2c([nH]1)ccn2)CC(=O)NC[C@@]3(CCCc4c3cccc4)O,C66929040,P102855471
CC(C)CN(CC(=O)N)C(=O)CNC(=O)c1cc2c(s1)CCCC2,C67043812,P103015357
CC[C@@H](C)NC(=O)[C@@H](C)NC(=O)C(=O)Nc1c(c(c(c(c1F)F)F)F)F,C68685798,P105417854
CC[C@H](C)NC(=O)[C@H](C)NC(=O)C(=O)Nc1c(c(c(c(c1F)F)F)F)F,C68685800,P105417856
Cn1cc(cc1C(=O)N)S(=O)(=O)NC(=O)C23CC4CC(C2)CC(C4)C3,C48556437,P107139529
C[C@H](c1nncn1C)NS(=O)(=O)c2ccc(c(c2)Br)N,C70217280,P108236407
c1cc(ccc1NC(=O)Cn2cc(ccc2=O)Br)S(=O)(=O)N,C46028776,P110678591
CC1(CC(CC([NH2+]1)(C)C)/N=C/2\[C@@H](C(=O)C2=O)N3CC[NH+](CC3)Cc4ccccc4)C,C61720834,P111228297
CC(=O)NCCNC(=O)CCC(=O)NC1(CC1)c2cccc(c2)Cl,C77164159,P120372993
C[C@@](CNC(=O)Cc1ccccc1NS(=O)(=O)C)(c2ccsc2)O,C77635572,P121155533
c1cc(cc(c1)C(F)(F)F)[C@H](CN2CCCC2=O)NS(=O)(=O)N,C79268703,P123799394
Cc1c(c(=O)[nH]c(=O)[nH]1)S(=O)(=O)NCC23CC4CC(C2)CC(C4)C3,C04035490,P126212915
C[C@@H](CS(=O)(=O)C)NS(=O)(=O)CCSc1cccc(c1)N,C81901825,P127740321
c1cc(ccc1CCN2C(=O)/C(=C\c3ccc(c(c3)O)O)/C(=O)NC2=O)F,C22242112,P131656564
Cc1cc(c(o1)C)[C@H](CCNC(=O)C(=O)Nc2ccccc2SC)O,C85562008,P133910987
Cc1ccc(cc1C(=O)N(CC/C(=N/O)/N)CCOC)Br,C87744476,P137243932
COc1ccc(c(c1)NC(=O)[C@H](CCS(=O)(=O)C)N)Br,C88321447,P138138690
c1c(csc1CNS(=O)(=O)c2c(c[nH]n2)CO)Br,C88902362,P139065291
CC(=O)N[C@H](CC(=O)N1CCc2c(sc(c2C#N)N)C1)c3ccccc3,C89722311,P140268157
c1ccc(c(c1)CNS(=O)(=O)N)c2ccc(cc2)CN3CCCC3=O,C89813997,P140404501
Cc1c(c(sn1)NC)C(=O)NC[C@@H]2C[C@@H](CN2Cc3ccccc3)O,C89963064,P140633213
c1ccc(cc1)CN2CCC[C@@H](C2=O)N[C@H](c3ccc(cc3)C#N)C(=O)N,C90069366,P140782490
CC[C@@H](c1nccs1)[N-]S(=O)(=O)c2cc(oc2Br)C[NH3+],C91307763,P142828330
Cc1c(c(n(n1)CCN)C)S(=O)(=O)NCc2ccc(s2)Br,C91308351,P142828852
c1cc(ccc1[C@@H](CC(F)(F)F)NC(=O)CC[C@@H]2C(=O)NC(=O)N2)F,C92507533,P144801468
CN(C)[C@@H]1CC[C@H](C1)NCc2cc(c(c(c2)Cl)OCC(=O)N)OC,C92846685,P145381619
Cc1cc(c(cc1S(=O)(=O)NC[C@@H]2CCS(=O)(=O)C2)N)Cl,C94832412,P148640547
Cc1csc(n1)[C@@](CC(=O)O[C@H](c2ccccc2)C(=O)N)(C(F)(F)F)O,C95392626,P149843547
CCOc1ccc(cc1OCC)c2nc([nH]n2)[C@@H](Cc3ccccc3)N,C95534936,P150161626
C[C@H](c1ccc(s1)S(=O)(=O)N)NC(=O)[C@@H]2CCS(=O)(=O)C2,C86027207,P153214491
CN(C)C[C@@H]1C[C@H](CN1S(=O)(=O)c2ccc(c(c2)Br)N)O,C97245018,P154001934
COc1ccc(cc1S(=O)(=O)N[C@@H]2[C@H]([C@@H]3[C@@H]2OCC3)N)Br,C97528178,P154530229
CC[C@](C)([C@H](c1c(cnn1CC)Br)NN)N2CCOCC2,C97586099,P154670149
CC(C)n1c(c(cn1)Br)[C@@H]([C@H]2CN(CCCN2C)C)NN,C97622679,P154755287
c1cc(c(cc1NC(=O)CCn2cncc(c2=O)I)N)F,C97632770,P154772175
CN(C)CCn1c(c(cn1)Cl)[C@H](c2ccc(cn2)Br)NN,C97644032,P154823452
CC(C)(C)[C@H]([C@H](c1c(cnn1CCN(C)C)Br)NN)OC,C97652042,P154823785
CSCC[C@H](C(=O)N1CCN(CC1)Cc2ccc(cc2)Cl)NC(=O)N,C31970874,P154835607
CC(C)n1c(c(cn1)Br)[C@H]([C@@H]2CCCCS2(=O)=O)NN,C97786638,P155186798
CC(C)n1c(c(cn1)Br)[C@H](C(C)(C)S(=O)(=O)C)NN,C97786710,P155186870
